Table with row headings in column A and column headings in rows 3 to 5.																																																						
Table H-8.  Median Household Income by State: 1984 to 2010 (Households as of March of the following year.  Income in current and 2010 CPI-U-RS adjusted dollars28/)																																																						
State	2010		2009 (36)		2008		2007		2006		2005		2004 (35)		2003		2002		2001		2000 (30)		1999 (29)		1998		1997		1996		1995 (25)		1994 (24)		1993 (23)		1992 (22)		1991		1990		1989		1988		1987 (21)		1986		1985 (20)		1984 (19)	
     United States	49,445	209	50,599	217	50,939	139	52,823	147	52,124 	224 	51,739 	173 	51,174 	226 	51,353 	223 	51,398 	168 	52,005 	159 	53,164 	167 	53,252 	249 	51,944 	307 	50,123 	232 	49,112 	248 	48,408 	280 	46,937 	214 	46,419 	217 	46,646 	221 	47,032 	225 	48,423 	247 	49,076 	270 	48,216 	246 	47,848 	233 	47,256 	245 	45,640 	247 	44,802 	204 
Alabama	40,976	800	40,640	919	45,039	1,680	44,388	1,493	41,041 	1,097 	41,491 	1,357 	42,280 	1,504 	44,165 	1,873 	45,573 	1,287 	43,301 	1,239 	44,851 	1,357 	47,436 	1,556 	48,445 	1,746 	43,261 	2,177 	41,930 	1,741 	36,922 	1,798 	39,565 	2,268 	37,268 	1,617 	39,295 	1,611 	38,009 	1,667 	37,772 	1,677 	36,135 	1,817 	35,328 	1,615 	36,232 	2,106 	36,313 	1,680 	35,427 	1,469 	34,598 	1,209 
Alaska	58,198	1,681	62,621	1,780	64,798	2,331	66,241	1,665	61,010 	1,617 	62,422 	1,487 	63,559 	2,391 	61,452 	1,163 	63,960 	1,300 	70,645 	2,478 	66,910 	1,467 	67,254 	2,913 	67,716 	2,837 	65,007 	1,704 	73,033 	2,639 	68,123 	2,853 	66,000 	2,173 	63,789 	2,441 	63,647 	1,760 	63,403 	2,844 	63,552 	2,631 	61,130 	2,340 	58,626 	2,095 	61,016 	2,749 	59,515 	1,930 	67,213 	2,104 	64,672 	2,944 
Arizona	47,279	1,347	46,494	1,261	47,507	1,139	49,649	1,635	50,454 	1,347 	50,532 	1,420 	50,611 	1,319 	48,802 	1,686 	48,156 	1,216 	52,592 	1,775 	50,370 	1,532 	48,409 	1,483 	49,546 	1,676 	44,346 	1,757 	43,778 	1,763 	43,844 	1,932 	45,525 	1,125 	45,333 	1,664 	44,700 	1,657 	47,986 	1,400 	47,260 	1,845 	48,475 	2,054 	46,817 	1,493 	49,111 	1,638 	48,400 	1,363 	46,140 	1,438 	42,823 	1,217 
Arkansas	38,571	1,307	37,141	924	40,087	1,209	42,898	1,418	40,073 	829 	40,941 	1,462 	40,382 	1,147 	37,938 	920 	39,252 	943 	41,058 	1,409 	37,600 	977 	38,840 	1,343 	36,956 	1,550 	35,436 	1,563 	37,531 	1,353 	36,671 	1,419 	37,192 	1,373 	34,232 	1,259 	36,362 	2,129 	36,586 	1,222 	36,849 	1,586 	36,388 	1,553 	35,725 	1,250 	34,567 	1,851 	35,550 	1,452 	33,722 	1,476 	31,328 	1,495 
California	54,459	770	57,061	629	57,735	839	58,608	650	59,821 	752 	57,802 	514 	56,816 	762 	58,445 	971 	57,492 	928 	58,205 	895 	59,274 	869 	57,090 	920 	54,681 	771 	53,765 	1,170 	53,706 	1,132 	52,574 	1,027 	51,399 	901 	50,627 	967 	53,143 	958 	52,556 	1,069 	53,836 	914 	56,042 	1,049 	53,639 	1,123 	55,348 	988 	55,062 	1,082 	52,138 	676 	50,542 	728 
Colorado	60,442	1,615	56,853	1,621	61,714	1,922	64,293	1,066	60,230 	1,648 	56,344 	1,437 	58,737 	1,835 	59,203 	1,373 	58,530 	1,774 	60,834 	1,466 	61,077 	1,566 	63,042 	1,941 	62,249 	1,451 	58,558 	2,633 	56,665 	1,839 	57,826 	2,205 	55,039 	2,104 	51,244 	2,331 	49,460 	2,240 	49,176 	1,944 	49,701 	1,465 	45,511 	2,373 	46,425 	2,276 	48,610 	1,974 	51,612 	1,758 	54,459 	1,643 	51,570 	1,609 
Connecticut	66,452	2,143	65,922	2,346	65,500	2,735	67,448	2,155	67,483 	2,338 	63,476 	1,824 	63,601 	1,902 	65,160 	1,851 	64,703 	1,660 	65,699 	1,527 	63,523 	1,718 	66,203 	3,004 	62,127 	3,644 	59,577 	2,694 	58,282 	4,272 	57,169 	3,223 	59,788 	2,320 	58,715 	2,467 	62,184 	3,003 	65,810 	3,035 	62,859 	3,391 	71,851 	2,703 	64,134 	2,290 	60,335 	2,501 	62,106 	3,046 	60,079 	2,182 	59,865 	2,474 
Delaware	55,269	1,901	52,974	1,810	51,343	1,406	57,404	2,270	56,706 	1,871 	57,222 	1,202 	55,462 	1,640 	58,111 	1,634 	60,174 	2,042 	61,087 	1,808 	63,768 	1,909 	61,015 	2,985 	55,381 	2,342 	58,288 	2,793 	54,394 	1,940 	49,618 	2,625 	52,188 	1,733 	53,586 	1,261 	54,323 	2,121 	50,871 	1,734 	49,815 	1,800 	54,444 	1,924 	54,025 	2,067 	53,692 	1,607 	48,639 	2,300 	44,407 	2,640 	51,606 	2,053 
District of Columbia	55,528	2,725	54,018	2,122	56,293	1,785	53,401	1,154	52,423 	1,816 	50,250 	2,420 	50,155 	2,152 	53,399 	1,681 	47,351 	1,206 	50,701 	1,260 	52,192 	1,357 	50,601 	2,092 	44,661 	1,751 	43,154 	1,333 	44,233 	2,184 	43,680 	1,679 	43,813 	1,610 	40,570 	2,565 	46,054 	1,711 	46,656 	2,971 	44,298 	2,526 	45,419 	1,723 	47,359 	1,325 	50,408 	2,359 	46,164 	2,376 	40,727 	1,461 	40,791 	1,719 
Florida	44,243	871	46,384	718	45,424	869	48,155	599	49,394 	680 	48,013 	905 	46,789 	730 	46,201 	900 	46,084 	1,004 	44,854 	514 	49,196 	941 	46,886 	820 	46,633 	1,025 	43,960 	790 	42,400 	710 	42,255 	869 	42,617 	919 	42,421 	1,050 	41,641 	801 	42,546 	742 	43,154 	734 	44,286 	806 	44,994 	841 	44,962 	874 	43,368 	1,025 	41,243 	844 	39,545 	935 
Georgia	44,108	1,281	44,055	1,277	46,812	1,179	51,149	1,134	53,360 	1,308 	51,292 	936 	47,307 	713 	50,310 	1,161 	52,040 	1,342 	52,434 	1,321 	53,051 	1,052 	51,589 	1,773 	51,650 	1,575 	49,659 	1,241 	44,966 	2,305 	48,441 	1,274 	45,778 	1,801 	47,046 	1,863 	43,846 	1,870 	42,483 	1,699 	44,571 	1,918 	46,760 	1,733 	47,049 	1,587 	49,047 	2,534 	46,255 	2,111 	40,675 	1,523 	39,943 	1,629 
Hawaii	58,507	2,048	56,568	2,056	62,299	1,500	67,323	2,235	65,392 	1,699 	66,548 	1,354 	64,920 	1,951 	61,449 	1,579 	57,329 	1,662 	58,423 	1,547 	65,263 	1,510 	58,235 	2,397 	54,538 	3,165 	55,444 	1,895 	57,802 	2,619 	60,874 	1,835 	61,472 	3,525 	63,389 	2,614 	64,121 	2,185 	58,148 	2,545 	62,942 	2,287 	59,481 	2,255 	58,486 	2,625 	64,301 	1,972 	55,049 	2,289 	55,964 	2,794 	57,718 	2,430 
Idaho	47,014	1,211	47,550	1,285	48,020	1,702	51,720	1,358	49,974 	1,419 	49,338 	1,401 	51,202 	1,601 	50,231 	1,164 	45,709 	1,359 	47,095 	1,190 	47,620 	1,509 	46,846 	1,849 	48,998 	1,456 	45,245 	1,814 	48,029 	1,856 	46,419 	1,585 	45,878 	1,859 	46,076 	1,966 	42,182 	1,331 	40,772 	1,606 	40,923 	1,577 	41,857 	1,618 	41,530 	1,778 	38,106 	1,531 	39,383 	1,291 	40,119 	1,156 	42,158 	1,925 
Illinois	50,761	865	53,743	957	53,928	1,342	55,213	999	52,632 	1,262 	54,053 	1,101 	53,186 	950 	53,528 	1,271 	51,763 	1,037 	56,861 	1,083 	58,322 	1,223 	60,625 	1,345 	57,679 	1,648 	55,917 	1,059 	54,733 	1,532 	54,083 	1,243 	51,036 	1,162 	48,820 	1,204 	48,039 	1,145 	49,777 	1,115 	52,626 	1,171 	53,140 	1,058 	52,288 	1,335 	49,726 	984 	50,319 	1,203 	48,059 	1,011 	47,474 	1,133 
Indiana	46,322	1,516	45,036	1,103	47,108	1,200	49,900	1,320	49,103 	1,337 	47,396 	1,229 	48,860 	1,329 	50,294 	1,137 	49,747 	907 	49,728 	1,167 	51,740 	860 	53,438 	2,249 	53,074 	2,123 	52,675 	1,602 	48,635 	1,796 	47,426 	2,051 	40,528 	1,501 	43,795 	2,022 	43,439 	2,002 	42,291 	1,439 	43,547 	1,777 	43,969 	1,735 	46,565 	1,649 	41,345 	1,733 	43,139 	1,346 	43,817 	1,210 	45,512 	1,419 
Iowa	49,177	1,403	51,558	1,560	50,776	1,309	51,430	1,526	52,043 	1,612 	51,933 	1,495 	50,086 	1,756 	49,060 	1,048 	49,750 	1,396 	50,464 	1,395 	51,899 	1,027 	53,778 	1,479 	49,451 	1,606 	45,759 	1,736 	45,953 	2,113 	50,458 	1,338 	48,123 	1,862 	42,589 	1,842 	43,764 	1,480 	44,577 	1,580 	44,129 	1,595 	44,592 	1,345 	43,045 	1,909 	40,741 	1,674 	42,628 	1,424 	40,440 	1,167 	39,701 	1,489 
Kansas	46,229	1,227	45,455	1,818	48,483	1,428	50,998	1,898	49,260 	1,354 	46,938 	1,100 	47,402 	2,019 	52,436 	1,572 	51,653 	1,269 	51,004 	1,373 	51,985 	1,479 	48,871 	2,719 	49,040 	2,160 	49,399 	2,186 	45,090 	2,020 	43,102 	1,308 	41,203 	1,548 	44,234 	1,700 	46,204 	1,731 	45,735 	1,458 	48,381 	1,907 	45,606 	1,542 	45,278 	2,042 	46,971 	1,652 	45,413 	1,484 	44,036 	1,996 	49,227 	1,823 
Kentucky	41,236	1,237	43,368	1,335	41,669	822	41,486	1,273	42,699 	1,137 	40,987 	1,003 	41,104 	1,406 	43,787 	1,016 	44,554 	1,059 	47,337 	1,243 	45,916 	1,074 	44,148 	1,942 	48,427 	2,018 	45,310 	2,247 	44,852 	1,991 	42,348 	1,632 	38,690 	1,496 	36,219 	1,621 	35,758 	1,917 	37,100 	1,633 	40,074 	1,962 	39,529 	2,048 	35,256 	1,419 	37,956 	1,724 	37,722 	1,909 	33,549 	1,445 	35,338 	2,157 
Louisiana	39,443	2,159	46,183	1,843	40,063	1,505	43,443	985	39,458 	1,541 	41,587 	1,449 	42,050 	1,435 	39,722 	1,308 	41,216 	1,525 	41,037 	1,472 	38,892 	1,048 	42,729 	1,628 	42,393 	2,217 	45,050 	2,101 	41,875 	1,785 	39,704 	1,548 	37,353 	2,184 	39,096 	1,730 	38,733 	1,739 	39,497 	1,805 	36,233 	2,555 	38,813 	3,153 	36,301 	2,610 	39,197 	1,575 	39,650 	1,815 	40,926 	1,407 	37,874 	1,759 
Maine	48,133	1,458	48,286	1,768	47,825	1,454	50,363	1,470	49,357 	1,943 	49,055 	1,600 	47,706 	1,412 	43,997 	1,120 	44,664 	1,025 	45,089 	1,172 	47,183 	1,080 	50,853 	1,726 	47,609 	1,401 	44,389 	1,762 	48,011 	1,676 	48,098 	1,546 	44,104 	2,236 	40,769 	1,787 	45,094 	1,562 	43,507 	1,956 	44,414 	2,542 	47,913 	2,358 	46,758 	1,668 	43,330 	1,871 	44,460 	1,841 	39,651 	1,552 	41,270 	1,767 
Maryland	64,025	2,021	65,246	1,702	64,517	1,791	69,014	1,747	68,850 	1,731 	67,583 	1,650 	65,913 	1,953 	62,018 	1,450 	68,363 	1,857 	65,924 	2,035 	69,047 	1,773 	68,312 	2,901 	66,813 	2,887 	63,234 	1,999 	60,875 	3,549 	58,302 	2,311 	57,025 	2,037 	59,343 	1,905 	56,645 	2,476 	57,689 	2,212 	62,838 	2,581 	61,147 	2,015 	64,734 	2,118 	64,205 	2,548 	58,088 	1,966 	58,235 	1,867 	59,379 	2,301 
Massachusetts	61,333	987	60,353	1,778	61,083	1,695	61,477	2,346	59,833 	2,248 	62,562 	1,959 	60,045 	1,924 	60,406 	1,130 	60,422 	1,397 	64,352 	1,869 	59,195 	1,718 	57,582 	2,647 	56,566 	2,620 	56,919 	1,873 	54,650 	2,673 	54,798 	2,095 	58,919 	1,542 	55,071 	1,410 	55,360 	1,124 	55,756 	1,233 	58,618 	1,339 	61,266 	1,195 	58,821 	1,486 	59,195 	1,315 	57,585 	1,395 	54,507 	1,565 	53,884 	1,385 
Michigan	46,441	1,044	46,753	1,020	50,418	1,169	51,916	839	52,606 	1,045 	51,300 	1,022 	48,776 	990 	53,373 	1,126 	51,769 	1,351 	55,477 	1,069 	57,623 	1,386 	60,309 	1,343 	55,866 	1,225 	52,475 	1,501 	54,278 	1,582 	51,746 	1,412 	51,331 	997 	48,531 	1,013 	49,129 	1,159 	50,141 	1,076 	48,413 	1,072 	52,249 	1,341 	52,195 	1,075 	50,861 	1,329 	50,497 	1,230 	46,845 	1,619 	45,901 	1,269 
Minnesota	52,554	1,319	57,016	1,257	55,620	1,445	61,051	1,985	60,786 	1,317 	60,550 	1,389 	64,760 	1,235 	62,621 	1,456 	66,200 	1,450 	64,879 	1,397 	68,688 	2,156 	61,551 	1,998 	64,021 	2,825 	57,652 	2,045 	56,721 	1,695 	53,887 	2,625 	48,945 	1,979 	50,046 	1,801 	47,171 	1,975 	46,022 	1,789 	50,884 	1,662 	51,247 	2,170 	51,514 	1,844 	51,559 	2,043 	50,190 	2,183 	46,100 	1,975 	48,841 	1,827 
Mississippi	37,985	1,570	35,657	1,326	36,907	840	39,201	1,000	37,560 	1,712 	36,716 	1,443 	40,117 	1,307 	38,799 	1,319 	37,428 	928 	37,144 	1,461 	43,426 	1,714 	42,499 	1,842 	38,900 	1,547 	38,601 	1,877 	36,914 	1,821 	37,700 	1,460 	36,952 	1,094 	32,972 	1,826 	31,320 	1,635 	30,404 	1,644 	32,631 	1,297 	33,815 	1,608 	32,172 	1,573 	33,990 	1,654 	31,342 	1,213 	31,717 	1,196 	30,841 	1,463 
Missouri	46,184	1,529	49,574	1,621	46,620	1,160	48,377	1,161	48,207 	1,516 	48,009 	1,105 	48,638 	1,239 	51,879 	1,037 	51,843 	1,302 	50,911 	1,483 	57,098 	1,503 	54,151 	1,558 	53,702 	2,495 	49,510 	2,790 	47,414 	2,094 	49,472 	1,950 	43,920 	2,098 	42,617 	2,178 	41,659 	2,209 	43,598 	2,209 	44,201 	2,254 	44,986 	1,267 	41,518 	1,927 	43,550 	2,143 	41,615 	1,465 	42,395 	1,175 	41,524 	1,429 
Montana	41,467	855	41,105	1,019	43,443	1,786	45,906	1,787	44,451 	754 	41,673 	1,297 	39,195 	818 	40,435 	1,265 	42,219 	1,469 	39,564 	908 	41,499 	1,267 	40,614 	1,264 	42,182 	1,514 	39,567 	1,551 	39,692 	2,167 	39,431 	1,570 	40,197 	1,813 	39,330 	1,434 	40,387 	1,108 	38,760 	1,389 	37,801 	1,590 	40,224 	2,226 	39,371 	1,468 	37,590 	1,467 	38,583 	1,422 	39,104 	1,546 	39,048 	1,439 
Nebraska	52,728	1,424	50,414	1,684	51,370	1,270	51,709	1,450	52,064 	1,611 	53,523 	1,616 	50,542 	1,538 	52,131 	1,548 	51,867 	1,258 	53,709 	1,374 	52,860 	1,289 	50,544 	1,787 	48,642 	2,069 	46,990 	2,070 	47,067 	2,076 	46,778 	1,641 	46,254 	1,624 	46,073 	1,238 	45,751 	1,631 	46,132 	1,572 	44,443 	1,824 	44,684 	2,582 	44,557 	1,700 	42,720 	1,397 	41,324 	1,545 	42,125 	1,766 	42,767 	1,529 
Nevada	51,525	1,366	52,283	1,115	55,437	2,692	56,845	1,361	56,537 	1,354 	53,842 	1,876 	54,487 	1,595 	53,565 	1,842 	54,487 	1,407 	55,916 	1,392 	57,935 	1,280 	54,253 	2,308 	53,108 	1,636 	52,627 	2,135 	53,330 	2,235 	51,260 	1,867 	52,185 	2,232 	53,214 	1,602 	48,583 	1,212 	51,421 	2,442 	51,787 	1,907 	49,813 	1,609 	49,558 	1,693 	49,348 	2,071 	49,761 	1,699 	44,975 	1,942 	51,520 	2,035 
New Hampshire	66,707	1,562	65,190	1,887	67,013	3,245	71,060	1,941	67,014 	1,599 	63,642 	2,263 	65,581 	1,528 	65,874 	1,546 	67,047 	1,562 	63,216 	885 	64,478 	1,574 	60,265 	2,554 	60,057 	2,493 	55,531 	2,173 	54,529 	2,399 	55,646 	2,210 	51,274 	2,672 	56,409 	2,407 	60,045 	2,926 	56,253 	2,090 	65,989 	2,123 	63,721 	2,328 	61,321 	1,999 	59,373 	2,662 	57,981 	1,573 	51,021 	2,075 	51,796 	1,469 
New Jersey	63,540	1,634	65,846	1,951	66,132	2,326	63,628	1,533	73,598 	2,140 	70,772 	2,521 	63,803 	1,481 	66,441 	1,213 	66,134 	1,945 	63,758 	1,149 	63,818 	1,255 	65,079 	1,839 	66,559 	1,918 	65,044 	1,929 	65,684 	1,684 	62,398 	1,989 	61,509 	1,548 	60,177 	1,465 	59,381 	1,280 	62,524 	1,613 	62,640 	1,397 	66,417 	1,609 	64,265 	1,165 	62,867 	1,458 	60,196 	1,598 	59,866 	1,243 	55,517 	1,599 
New Mexico	45,098	1,969	44,261	1,519	42,635	1,398	46,643	1,550	43,286 	1,359 	43,498 	1,899 	45,666 	1,828 	41,617 	1,354 	42,972 	1,286 	40,793 	1,525 	44,432 	1,580 	42,624 	2,285 	42,136 	1,867 	40,751 	1,567 	34,713 	1,510 	36,922 	1,563 	39,141 	2,011 	39,758 	1,267 	39,374 	2,051 	41,434 	1,866 	40,492 	1,695 	38,373 	1,747 	34,174 	1,475 	38,112 	1,140 	37,667 	1,315 	39,466 	1,981 	41,234 	2,057 
New York	49,826	808	51,045	609	51,099	691	51,468	965	52,147 	1,069 	52,688 	924 	51,538 	914 	50,725 	1,034 	50,861 	703 	51,865 	739 	51,587 	736 	52,327 	1,150 	49,952 	1,038 	48,488 	859 	48,999 	1,032 	46,919 	1,017 	46,406 	694 	47,097 	826 	47,278 	805 	49,636 	840 	51,088 	826 	53,473 	769 	51,209 	1,183 	48,441 	837 	47,499 	900 	45,680 	1,011 	44,027 	833 
North Carolina	43,753	1,075	42,598	586	43,473	857	45,757	1,127	43,036 	881 	46,970 	1,077 	46,446 	937 	44,194 	1,116 	44,255 	868 	46,998 	1,171 	48,514 	1,020 	48,748 	1,256 	47,874 	1,365 	48,545 	1,242 	49,263 	1,395 	45,429 	1,261 	43,810 	975 	42,822 	970 	42,284 	938 	41,923 	796 	42,579 	899 	44,831 	878 	43,239 	949 	41,788 	995 	41,493 	1,325 	41,452 	1,130 	41,112 	1,281 
North Dakota	51,380	1,192	50,902	1,767	50,259	1,203	49,639	1,346	44,388 	1,519 	47,122 	1,364 	45,271 	1,444 	47,906 	1,010 	43,873 	999 	44,080 	990 	45,575 	1,348 	42,741 	1,810 	40,481 	1,575 	42,884 	1,843 	43,547 	1,638 	41,323 	1,729 	41,139 	1,622 	41,779 	1,241 	41,047 	1,372 	40,422 	1,455 	40,856 	1,622 	42,833 	1,533 	42,667 	1,787 	41,450 	1,662 	40,823 	1,490 	40,977 	1,563 	41,516 	2,075 
Ohio	46,093	802	46,636	636	47,528	859	51,631	1,141	49,636 	685 	49,368 	1,168 	49,698 	1,128 	51,592 	1,103 	51,731 	942 	51,460 	814 	54,395 	927 	51,673 	1,294 	51,997 	2,105 	48,943 	1,211 	47,144 	1,471 	49,637 	1,404 	46,342 	850 	46,485 	978 	47,815 	894 	46,508 	1,185 	48,536 	1,164 	49,271 	1,112 	49,128 	1,126 	47,319 	1,019 	47,669 	1,116 	48,646 	1,090 	46,217 	983 
Oklahoma	43,400	1,416	46,635	1,158	46,694	943	45,444	1,528	41,999 	1,727 	42,044 	1,618 	45,726 	1,295 	42,561 	926 	44,186 	743 	43,854 	850 	41,063 	898 	42,767 	1,951 	45,054 	1,646 	42,464 	1,388 	37,966 	1,507 	37,377 	1,250 	39,266 	1,765 	39,018 	2,217 	38,497 	1,637 	39,751 	1,685 	39,433 	1,688 	40,181 	2,098 	41,915 	1,339 	39,825 	1,623 	39,760 	1,653 	40,977 	1,476 	42,270 	1,435 
Oregon	50,526	1,216	49,909	1,671	52,381	1,391	52,826	1,427	50,924 	1,510 	49,319 	1,554 	47,319 	1,213 	49,361 	1,144 	50,662 	1,036 	50,829 	926 	53,809 	1,185 	53,152 	1,638 	52,187 	2,574 	50,450 	2,422 	49,112 	1,763 	51,672 	1,378 	45,762 	1,641 	49,238 	1,724 	48,612 	3,105 	47,132 	1,697 	47,352 	1,562 	48,436 	2,436 	49,142 	2,037 	45,970 	2,005 	47,020 	1,902 	42,308 	2,014 	42,771 	1,489 
Pennsylvania	48,460	958	48,967	952	52,052	596	50,934	980	52,423 	940 	51,710 	832 	50,911 	1,199 	50,897 	922 	51,506 	964 	53,571 	890 	53,400 	891 	49,408 	1,493 	52,118 	1,443 	50,816 	1,306 	48,292 	1,348 	49,044 	970 	46,649 	951 	46,054 	1,031 	45,498 	1,016 	47,409 	959 	46,906 	1,113 	48,709 	1,161 	47,361 	880 	46,679 	993 	45,187 	940 	44,208 	1,040 	40,667 	997 
Rhode Island	51,914	1,399	52,486	1,470	53,915	2,429	57,005	1,944	58,110 	1,971 	55,266 	1,626 	55,331 	2,276 	53,004 	1,481 	51,408 	1,060 	56,310 	1,413 	53,426 	1,289 	55,900 	2,591 	54,350 	3,549 	47,132 	3,027 	51,179 	1,434 	50,230 	1,950 	46,449 	1,922 	49,789 	2,299 	46,335 	2,182 	48,141 	1,703 	51,698 	1,900 	51,144 	2,299 	52,851 	2,805 	51,944 	2,644 	50,374 	2,012 	47,586 	1,739 	43,197 	1,695 
South Carolina	41,709	1,016	41,779	1,131	42,688	1,135	46,493	1,633	42,841 	1,457 	44,931 	1,345 	44,661 	1,179 	45,616 	1,329 	45,827 	1,483 	46,473 	1,260 	47,568 	1,186 	47,712 	2,261 	44,439 	1,750 	46,407 	2,179 	47,968 	1,944 	41,298 	1,989 	43,420 	1,657 	38,711 	1,426 	41,990 	2,183 	42,875 	1,775 	46,469 	2,237 	40,404 	1,798 	45,219 	2,037 	45,990 	2,086 	41,696 	1,640 	38,718 	1,666 	40,593 	1,867 
South Dakota	45,669	1,266	46,582	1,310	52,253	1,008	48,811	946	49,124 	1,775 	48,193 	1,529 	47,449 	1,149 	46,853 	1,190 	45,901 	1,155 	48,856 	1,054 	46,181 	870 	46,882 	1,235 	43,797 	1,353 	40,220 	1,551 	40,857 	1,388 	42,018 	2,287 	43,255 	1,724 	41,213 	1,545 	39,982 	1,019 	38,466 	1,218 	39,736 	1,388 	40,930 	1,696 	39,483 	1,245 	38,833 	1,096 	37,767 	1,260 	35,058 	1,357 	38,794 	1,855 
Tennessee	38,686	900	41,186	1,004	40,204	1,226	43,319	1,174	44,005 	816 	44,010 	1,330 	43,946 	1,220 	44,483 	1,400 	44,879 	1,346 	44,068 	974 	43,169 	1,177 	47,791 	1,714 	45,540 	1,746 	41,496 	1,839 	42,606 	1,504 	41,218 	1,801 	41,664 	1,496 	37,298 	1,235 	37,026 	1,390 	38,176 	1,428 	36,535 	1,405 	38,388 	2,216 	36,936 	1,801 	38,885 	1,460 	34,651 	1,678 	34,354 	1,076 	33,543 	1,151 
Texas	47,464	766	48,259	755	47,078	683	48,427	736	46,832 	895 	46,262 	469 	47,784 	634 	46,555 	903 	48,659 	682 	50,321 	631 	48,883 	994 	50,625 	1,335 	47,800 	884 	47,509 	1,192 	45,763 	1,056 	45,514 	901 	44,742 	953 	42,684 	911 	42,561 	965 	43,296 	977 	45,650 	1,158 	43,949 	949 	44,210 	1,031 	45,388 	1,170 	45,861 	976 	45,881 	1,055 	46,019 	1,065 
Utah	56,787	1,044	59,457	1,614	63,328	1,545	56,289	1,281	59,074 	1,807 	61,218 	1,455 	58,720 	1,070 	58,415 	1,069 	58,006 	1,389 	58,303 	1,972 	60,204 	1,318 	60,258 	2,113 	59,176 	1,837 	57,938 	2,418 	51,251 	1,840 	51,823 	1,306 	51,959 	1,514 	53,173 	1,845 	52,150 	1,743 	43,738 	2,122 	48,745 	1,646 	52,150 	1,722 	46,601 	1,610 	48,707 	2,192 	49,882 	1,537 	48,770 	1,357 	46,085 	1,469 
Vermont	55,942	1,572	53,182	1,462	51,347	994	49,833	1,470	56,212 	1,369 	56,629 	1,462 	54,631 	1,466 	51,285 	1,158 	52,113 	1,006 	50,239 	1,163 	50,130 	1,166 	54,414 	1,841 	52,595 	2,125 	47,479 	2,339 	44,775 	1,730 	48,050 	1,764 	52,085 	2,773 	46,158 	1,420 	49,872 	2,030 	45,516 	1,908 	50,291 	2,152 	53,132 	1,929 	51,338 	1,907 	46,662 	2,523 	46,690 	1,904 	50,243 	1,820 	45,128 	1,965 
Virginia	60,363	1,252	61,500	1,213	62,769	1,465	62,211	1,435	61,768 	1,722 	57,980 	1,323 	59,032 	1,288 	64,945 	1,853 	60,151 	1,563 	61,874 	1,414 	59,714 	1,348 	59,791 	2,316 	57,914 	2,932 	58,185 	2,569 	54,258 	2,019 	51,456 	1,976 	54,769 	2,227 	54,134 	2,061 	58,160 	2,069 	56,417 	2,086 	56,719 	1,695 	57,925 	2,046 	57,820 	2,336 	55,073 	1,860 	56,400 	2,038 	54,936 	2,559 	53,017 	1,747 
Washington	56,253	1,209	61,389	1,219	57,347	2,047	61,075	1,826	59,177 	1,345 	56,564 	1,167 	57,624 	1,233 	56,320 	1,654 	54,760 	1,168 	52,328 	1,557 	53,841 	1,533 	59,503 	2,722 	63,347 	1,842 	60,359 	2,323 	50,750 	2,225 	50,527 	1,779 	48,784 	1,731 	52,978 	1,651 	51,616 	1,899 	53,034 	1,850 	51,931 	2,004 	54,263 	2,499 	57,252 	1,824 	50,158 	2,034 	51,021 	1,803 	46,378 	1,461 	50,003 	1,645 
West Virginia	42,839	999	41,158	928	38,475	1,422	44,261	1,040	41,546 	1,313 	40,703 	1,202 	38,522 	1,354 	38,840 	1,177 	35,582 	847 	36,543 	830 	37,238 	817 	38,336 	1,504 	35,672 	1,042 	37,232 	1,781 	34,936 	1,800 	35,344 	1,236 	34,281 	1,770 	33,314 	1,458 	30,864 	1,358 	36,137 	1,433 	35,799 	1,847 	36,803 	1,431 	34,275 	1,647 	31,592 	1,428 	31,249 	1,718 	30,886 	1,600 	33,665 	1,215 
Wisconsin	50,522	863	52,083	819	51,848	863	53,921	1,094	55,899 	1,239 	49,867 	1,316 	52,788 	1,543 	54,851 	1,159 	55,633 	1,147 	55,845 	1,383 	57,087 	1,205 	59,757 	2,457 	55,206 	1,698 	53,631 	1,558 	55,351 	2,463 	58,180 	1,872 	51,482 	1,850 	47,199 	1,991 	50,714 	1,670 	48,605 	1,589 	49,665 	1,451 	49,444 	2,105 	52,378 	1,732 	48,414 	2,589 	50,165 	1,524 	44,921 	2,244 	41,460 	1,641 
Wyoming	52,359	1,330	53,336	2,166	54,012	1,597	51,257	1,433	50,870 	1,625 	49,943 	1,684 	52,401 	1,323 	50,448 	1,185 	48,191 	1,183 	48,915 	1,436 	50,175 	1,337 	48,741 	1,681 	47,088 	1,758 	45,271 	1,952 	42,831 	1,187 	44,790 	1,614 	48,212 	2,688 	43,746 	1,734 	45,996 	2,162 	45,353 	2,158 	47,642 	1,603 	50,120 	2,188 	46,789 	1,939 	50,655 	2,677 	44,716 	1,638 	42,670 	2,027 	47,602 	1,461 
"For footnotes, see www.census.gov/hhes/www/income/histinc/ftnotes.html 



"																																																						
For suggested citations, see www.census.gov/main/www/citation.html																																																						
Source:  U.S. Census Bureau, Current Population Survey, Annual Social and Economic Supplements.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see www.census.gov/apsd/techdoc/cps/cpsmar11.pdf[PDF].																																																						
